question;answer;category
Un vendedor canceló mi compra;Un vendedor puede cancelar una compra por quedarse sin stock, arrepentirse de la venta, tener problemas con el correo, entre otros. Cualquiera sea el motivo, vas a recibir el reembolso total de tu dinero. El tiempo que tarda en acreditarse el reembolso depende de los tiempos de acreditación de cada medio de pago. Siempre que compres en Mercado Libre, vas a estar cubierto por nuestro programa de Compra Protegida. Como queremos evitar este tipo de comportamiento, cada cancelación afecta la reputación del vendedor y puede provocar la suspensión o hasta la inhabilitación de su cuenta.;Cancelaciones
Cómo funcionan las compras internacionales en Mercado Libre?; En Mercado Libre podés comprar productos de Estados Unidos y recibirlos en la puerta de tu casa sin necesidad de que hagas los trámites de aduana. Para comprar, tené en cuenta las siguientes normas vigentes en Argentina: - Tu compra puede ser de hasta 3 unidades de un mismo tipo de producto. - Cada envío no debe superar los US$3.000 ni los 50 kg de peso. - Tenés un límite de 5 envíos internacionales por año, que incluye tanto las compras realizadas en Mercado Libre como las de otras plataformas. - Debés tener clave fiscal nivel 2 como mínimo. Podés confirmar qué clave fiscal tenés en la página de ARCA. - Deberás pagar el IVA y los impuestos internos si corresponden.; Compras
Cuándo recibo el dinero de una compra cancelada?; Después de la cancelación de la compra, el tiempo que tarda en acreditarse el reembolso depende del medio de pago donde recibas el dinero. Por lo general, hacemos los reembolsos al mismo medio de pago que usaste para comprar. Sin embargo, a veces ofrecemos el reembolso en Mercado Pago en lugar del medio de pago original si pagás con tarjeta de crédito o débito, para que recibas el dinero de forma inmediata y no tengas que esperar.; Cancelaciones
¿Cuándo me reembolsan el dinero?; Haremos el reembolso 3 días hábiles después de que llegue el producto, una vez que revisemos si cumple con las políticas de devolución. Sin embargo, algunas veces podemos hacer el reembolso ni bien entregás el producto, para que tengas el dinero más rápido. Una vez que hagamos el reembolso, vas a ver todos los detalles sobre el monto, lugar y día de acreditación del dinero desde el estado de tu compra. Para más información podés consultar los plazos de acreditación de cada medio de pago.; Devoluciones
Cómo funciona el reembolso del monto de tu compra pagada con tarjeta de crédito?; Si, por el motivo que sea, tu compra pagada con tarjeta de crédito fue cancelada, existen dos formas de recibir el reembolso: 1- El importe de la compra se reembolsará en forma de crédito por única vez en el resumen de tu tarjeta. Si pagaste en cuotas, el reembolso no va a impedir que se cobren, sin embargo el dinero reintegrado sí va a reducir el saldo pendiente en la cantidad que corresponda. El plazo de acreditación en el resumen varía según el banco y puede demorar hasta 35 días. 2- Se cancelará la operación, por lo que todas las cuotas quedarán excluidas de futuras facturas. El método a utilizar es elegido por el vendedor o por el banco emisor de la tarjeta, por lo que no tenemos injerencia en la forma cómo recibes el reembolso. Para más información o si no identificas el reembolso, te recomendamos que contactes a tu banco.; Cancelaciones
¿En qué compras debo pagar costos de importación?; Pagarás costos de importación en los siguientes casos: - Cuando excedas los US$400 por compra. En ese caso, los costos de importación estarán listados al momento de realizar el pago. - Si superás el límite de 5 envíos internacionales por año.; Compras
¿Dónde me reembolsarán el dinero?; - Reembolsamos el dinero en el mismo medio de pago que usaste para comprar. - En algunos casos, hacemos el reembolso en Mercado Pago si pagaste con tarjeta de crédito en una cuota o débito sin carrito de compras, para que recibas el dinero de forma inmediata, sin esperar.; Devoluciones
¿Qué productos puedo devolver?; Podés devolver cualquier compra, excepto los productos de las categorías sin devolución.; Devoluciones
¿Con qué moneda se pagan las compras internacionales?; Con pesos argentinos. Al comprar, verás el total en pesos y podrás usar cualquier medio de pago habilitado en la plataforma. Si pagás con tarjeta, el saldo en tu resumen mensual estará en pesos.; Compras
¿Cómo devuelvo productos si acordé la entrega con el vendedor al comprar?; Si al comprar acordaste la entrega del producto con el vendedor, tenés que acordar la devolución con el vendedor también. Podés escribirle a través de la mensajería de tu compra. Si no llegan a un acuerdo, podés iniciarle un reclamo al vendedor. Buscá tu compra, elegí la opción “Necesito ayuda” y contanos qué problema tuviste con el producto. De ser necesario, vas a poder pedir la mediación de Mercado Libre.; Devoluciones
¿Qué pasa si me arrepiento de devolver?; Si querés, podés cancelar la devolución. Y si más adelante querés hacer la devolución, podés volver a comenzar, siempre que no hayan pasado los 30 días que tenés desde que recibís el producto.; Devoluciones
Cómo y cuándo opinar sobre el vendedor; Una vez que hayas recibido tu compra, podrás dejar un comentario sobre el vendedor y lo mostraremos en su perfil. La forma de hacerlo dependerá de cómo la hayas recibido: Entregas por Mercado Envíos: Cuando recibas tu compra, encontrarás la acción Opinar sobre el vendedor en el menú de ayudas del estado de la compra. Entregas acordadas con el vendedor: Si acordaste la entrega con el vendedor, te enviaremos un e-mail para asegurarnos que recibiste el producto correctamente. Luego de que nos confirmes, podrás dejar un comentario y contar tu experiencia.; Opiniones
Cómo usar cupones en mi compra; Elegí productos que tengan cupones disponibles. Para hacerlo, buscá los productos que estén identificados con la etiqueta de descuento por cupón. También podés encontrar todos los cupones disponibles en Cupones. Cuando encuentres un cupón que desees usar, aplicalo con el botón 'Aplicar'. Una vez que lo hagas, usá Buscar productos para acceder al listado de todos los productos en los que podés usar cada cupón. Para acceder al descuento, la compra debe cumplir las condiciones del cupón.; Compras
Un cupón que apliqué en la compra no funcionó; Confirmá si cumpliste todas las condiciones del cupón. También puede haber sucedido que el cupón se haya agotado o vencido. En caso de que no hayas alcanzado el valor mínimo de compra, sumá más unidades del producto o armá un carrito con más productos elegibles para ese cupón.; Compras